CarID,CarLabel,Name,ModelPath
21,`_117_coupe_68`,Isuzu 117COUPÉ '68,0018/0001
22,`_147_20_twinspark_02`,Alfa Romeo 147 2.0 TWIN SPARK '02,0010/0002
24,`_180sx_x_96`,Nissan 180SX Type X '96,0003/0002
25,`_300zx_2seat_us_98`,Nissan 300ZX 2seater (Z32) '98,0003/0003
27,`_500_f_65`,Fiat 500 F '65,0024/0001
28,`alpine_a110_16s_73`,Alpine A110 1600S '73,0023/0001
29,`altoworks_sport_ltd_97`,Suzuki ALTO WORKS SUZUKI SPORT LIMITED '97,0006/0002
30,`atenza_5hb_01`,Mazda Atenza Concept '01,0001/0002
31,`camaro_z28_302_69`,Chevrolet Camaro Z28 '69,0022/0029
32,`camaro_z28_coupe_97`,Chevrolet Camaro Z28 Coupe '97,0022/0005
35,`celica_ss2_97`,Toyota CELICA SS-II (ST202) '97,0004/0004
36,`chevelle_ss_454_ls6_70`,Chevrolet Chevelle SS 454 '70,0022/0003
37,`civic_sir2_93`,Honda CIVIC SiR-II (EG) '93,0005/0072
38,`clio_renaultsport_20_02`,Renault Sport Clio R.S. 2.0 16V '02,0044/0001
40,`corvette_gs_96`,Chevrolet Corvette GRAND SPORT (C4) '96,0022/0006
41,`corvette_l46_350_69`,Chevrolet Corvette Stingray L46 350 (C3) '69,0022/0002
42,`crossfire_04`,Chrysler Crossfire '04,0041/0002
43,`cuda_440_6_71`,Plymouth Cuda 440 Six Pack '71,0026/0001
45,`dodge_viper_gtsr_oreca_00`,SRT Viper GTS-R (Team Oreca) #91 '00,0051/0001
46,`elise2000_00`,Lotus Elise '00,0009/0002
48,`fairlady_240zg_71`,Nissan Fairlady 240ZG (HS30) '71,0003/0001
49,`focus_rs_02`,Ford Focus RS '02,0086/0005
50,`ford_gt_concept_gulf_02`,Ford GT LM Race Car,0002/0003
51,`fto_gpr_97`,Mitsubishi FTO    GP Version R '97,0012/0004
52,`giulia_sprint_gta_65`,Alfa Romeo Giulia Sprint GTA 1600 '65,0010/0001
54,`gto_tt_95`,Mitsubishi GTO    Twin Turbo '95,0012/0003
55,`gtr_concept_lm_01`,Nissan GT-R Concept LM Race Car,0003/0010
56,`impreza_wrc_03`,Subaru IMPREZA Rally Car '03,0020/0003
57,`impreza_wrx_pro_01`,Subaru IMPREZA WRX STi Prodrive Style (Type-I) '01,0020/0002
58,`impreza_wrx_sti_02`,Subaru IMPREZA Sedan WRX STi (Type-II) '02,0020/0001
59,`ka_01`,Ford Ka '01,0086/0006
60,`lancer_evo7_gsr_01`,Mitsubishi Lancer Evolution VII    GSR '01,0012/0002
62,`lancer_evo8_gsr_03`,Mitsubishi Lancer Evolution VIII    GSR '03,0012/0001
63,`levin_gt_apex_83`,Toyota COROLLA LEVIN GT-APEX (AE86) '83,0004/0001
65,`mini_cooper_s_02`,MINI COOPER S '02,0050/0001
66,`mira_tr_xx_avar_97`,Daihatsu MIRA TR-XX Avanzato R '97,0011/0002
67,`nsx_r_proto_lm_01`,Honda NSX-R Prototype LM Race Car,0005/0005
68,`nsx_s_zero_97`,Honda NSX Type S Zero '97,0005/0004
69,`pontiac_gto_389_348_64`,Pontiac Tempest Le Mans GTO '64,0021/0001
70,`pontiac_vibe_gt_03`,Pontiac Vibe GT '03,0021/0002
71,`prelude_s_96`,Honda PRELUDE Type S '96,0005/0001
72,`primera_20v_01`,Nissan PRIMERA 20V '01,0003/0009
75,`rx8_lm_01`,Mazda RX-8 Concept LM Race Car,0001/0003
76,`rx8_tmv_01`,Mazda RX-8 Concept (Type-II) '01,0001/0001
77,`s13_ks_88`,Nissan SILVIA K's (S13) '88,0003/0005
78,`s14_ks_aero_96`,Nissan SILVIA K's AERO (S14) '96,0003/0006
79,`ssr_03`,Chevrolet SSR '03,0022/0004
80,`storia_x4_98`,Daihatsu STORIA X4 '00,0011/0003
81,`sunfire_gxp_02`,Pontiac Sunfire GXP Concept '02,0021/0003
82,`supra_rz_97`,Toyota SUPRA RZ '97,0004/0006
85,`will_vs_01`,Toyota WiLL VS '01,0004/0007
86,`z_tmv_lm_01`,Nissan Fairlady Z Concept LM Race Car,0003/0008
87,`_147_gta_02`,Alfa Romeo 147 GTA '02,0010/0004
89,`prius_g_touring_03`,Toyota PRIUS G Touring Selection (J) '03,0004/0008
90,`prius_g_02`,Toyota PRIUS G (J) '02,0004/0010
91,`viper_gtsr_oreca_00`,Viper GTS-R (Team Oreca) #51 '00,0041/0003
92,`crx_15i_83`,Honda BALLADE SPORTS CR-X 1.5i '83,0005/0006
93,`city_turbo2_83`,Honda CITY Turbo II '83,0005/0007
95,`piazza_xe_81`,Isuzu PIAZZA XE '81,0018/0002
96,`delta_s4_wrc_85`,Lancia DELTA S4 Rally Car '85,0043/0001
97,`lantis_coupe_r_93`,Mazda Lantis Coupe 2000 Type R '93,0001/0005
98,`familia_sd_sport20_02`,Mazda Familia Sedan Sport 20 '02,0001/0004
99,`eclipse_gt_95`,Mitsubishi ECLIPSE    GT '95,0012/0006
101,`_240rs_gpb_rally_85`,Nissan 240RS Rally Car '85,0003/0012
102,`r31_skyline_gtsr_87`,Nissan SKYLINE GTS-R (R31) '87,0003/0016
103,`primera_20te_90`,Nissan PRIMERA 2.0Te '90,0003/0014
104,`sileighty_xx`,Nissan SILEIGHTY '98,0003/0015
105,`_205_t16_wrc_ev2_86`,Peugeot 205 Turbo 16 Evolution 2 '86,0025/0001
106,`_5_maxi_turbo_rally_85`,Renault Sport R5 Turbo Rallye '85,0044/0002
107,`celica_xx_2800gt_81`,Toyota CELICA XX 2800GT '81,0004/0012
108,`celica_2000gt_r_86`,Toyota CELICA 2000GT-R (ST162) '86,0004/0013
109,`mr2_1600_glim_sc_86`,Toyota MR2 1600 G-Limited Super Charger '86,0004/0015
111,`celica_gt_four_rc_91`,Toyota CELICA GT-FOUR RC (ST185) '91,0004/0014
112,`levin_bzr_98`,Toyota COROLLA LEVIN BZ-R '98,0004/0016
113,`trueno_bzr_98`,Toyota SPRINTER TRUENO BZ-R '98,0004/0017
114,`panoz_esperante_race_98`,Panoz Esperante GTR-1 Race Car '98,0081/0001
115,`r390_race_98`,Nissan R390 GT1 '98,0003/0017
118,`legacy_wgn_20gt_b_03`,Subaru LEGACY Touring Wagon 2.0GT spec.B '03,0020/0008
119,`legacy_sdn_20gt_b_03`,Subaru LEGACY B4 2.0GT spec.B '03,0020/0007
121,`impreza_wrc_99`,Subaru IMPREZA Rally Car '99,0020/0006
122,`legacy_gtb_96`,Subaru LEGACY Touring Wagon GT-B '96,0020/0012
123,`legacy_b4_rsk_98`,Subaru LEGACY B4 RSK '98,0020/0014
124,`legacy_b4_blitzen_00`,Subaru LEGACY B4 Blitzen '00,0020/0013
125,`legacy_wgn_30r_03`,Subaru LEGACY Touring Wagon 3.0R '03,0020/0010
126,`legacy_b4_30r_03`,Subaru LEGACY B4 3.0R '03,0020/0009
127,`_1300_coupe_9s_70`,Honda 1300 Coupe 9 S '70,0005/0009
129,`hsc_concept_03`,"Honda HSC ""The 37th Tokyo Motor Show Concept Car"" '03",0005/0020
130,`insight_mt_99`,Honda INSIGHT '99,0005/0012
131,`n360_67`,Honda N360 '67,0005/0013
132,`odyssey_l_4wd_03`,Honda ODYSSEY '03,0005/0021
133,`s2000_03`,Honda S2000 '03,0005/0022
134,`prelude_sir_96`,Honda PRELUDE SiR '96,0005/0014
135,`s800_66`,Honda S800 '66,0005/0015
136,`today_g_85`,Honda TODAY G '85,0005/0016
137,`beat_91`,Honda BEAT '91,0005/0011
138,`takata_dome_nsx_03`,Honda TAKATA DOME NSX '03,0005/0023
139,`raybrig_nsx_00`,Honda RAYBRIG NSX '00,0005/0025
140,`castrol_nsx_00`,Honda Castrol MUGEN NSX '00,0005/0024
141,`arta_nsx_00`,Honda ARTA NSX '00,0005/0026
142,`loctite_nsx_01`,Honda LOCTITE MUGEN NSX '01,0005/0027
143,`mobil_nsx_01`,Honda Mobil 1 NSX '01,0005/0028
144,`arta_garaiya_03`,Autobacs ARTA Garaiya '03,0084/0001
145,`copen_activetop_02`,Daihatsu Copen Active Top '02,0011/0019
146,`midget2_d_type_98`,Daihatsu Midget II D type '98,0011/0005
148,`spoon_fit_03`,Spoon FIT Race Car '03,0072/0001
149,`kusabi_concept_03`,Mazda KUSABI '03,0001/0006
150,`lancer_1600gsr_73`,Mitsubishi Lancer    1600 GSR '74,0012/0007
151,`lancer_evo_gsr_92`,Mitsubishi Lancer Evolution    GSR '92,0012/0008
153,`eclipse_spyder_gts_03`,Mitsubishi ECLIPSE    Spyder GTS '03,0012/0011
154,`hsr2_concept_89`,Mitsubishi HSR-II '89,0012/0012
155,`i_concept_03`,Mitsubishi i    Concept '03,0012/0013
156,`bluebird_1600dx_67`,Nissan BLUEBIRD 1600 Deluxe (510) '69,0003/0018
157,`cube_ex_2wd_02`,Nissan CUBE EX (FF/CVT) '02,0003/0019
158,`march_g_2wd_3dr_99`,Nissan March G# '99,0003/0020
159,`v35_skyline_coupe_350gt_03`,Nissan SKYLINE Coupe 350GT '03,0003/0022
160,`fairlady_z_roadster_03`,Nissan Fairlady Z Roadster (Z33) '03,0003/0023
161,`xanavi_nismo_gtr_03`,Nissan XANAVI NISMO GT-R '03,0003/0024
162,`cusco_impreza_03`,CUSCO SUBARU ADVAN IMPREZA '03,0020/0011
163,`concept_s2_03`,Suzuki CONCEPT-S2 '03,0006/0003
164,`arist_30v_91`,Toyota ARISTO 3.0V '91,0004/0019
165,`arist_v300_vertex_00`,Toyota ARISTO V300 Vertex Edition '00,0004/0020
166,`bb_15z_x_2wd_00`,Toyota bB 1.5Z X Version '00,0004/0021
167,`celica_1600gt_70`,Toyota CELICA 1600GT (TA22) '70,0004/0022
168,`ist_15s_2wd_02`,Toyota ist 1.5S '02,0004/0024
